feature,importance
prev1_arr_del15,0.35200277
prev1_dep_del15,0.23798256
prev1_arr_delay,0.10092686
aircraft_leg_number_day,0.095003545
prev1_turnaround_minutes,0.021297539
dep_hour_local,0.019272756
prev1_dep_delay,0.017499432
dep_time_bucket,0.015892444
days_to_nearest_holiday,0.012223238
prev2_dep_delay,0.012041732
dep_month_local,0.011797047
rotation_continuity_flag,0.009848289
prev2_arr_delay,0.008487025
arr_ceiling_height_m,0.008102631
time_since_prev2_arrival_minutes,0.007818134
arr_temp_c,0.007741073
arr_wind_speed_m_s,0.0064058057
origin_flight_volume,0.0055097206
dep_temp_c,0.0054240893
dest_flight_volume,0.0052202856
aircraft_no_seats,0.0052015507
relative_leg_position,0.0046948353
dep_ceiling_height_m,0.0043122307
distance,0.0042411457
crs_elapsed_time,0.0040252265
arr_wind_dir_deg,0.0029422985
dep_weekday_local,0.0028632693
dep_wind_speed_m_s,0.0025349276
route_frequency,0.0025063467
is_weekend,0.0021383346
is_holiday,0.0016868945
dep_wind_dir_deg,0.0012269557
aircraft_year_mfr,0.0011291002
aircraft_age,0.0
aircraft_no_eng,0.0
prev2_dep_del15,0.0
prev2_arr_del15,0.0
