year,quarter,month,dayof_month,day_of_week,flight_date,reporting_airline,tail_number,flight_number_reporting_airline,origin,dest,distance,crs_dep_time,dep_time,dep_delay,dep_delay_minutes,dep_del15,taxi_out,wheels_off,wheels_on,taxi_in,crs_arr_time,arr_time,arr_delay,arr_delay_minutes,arr_del15,cancelled,diverted,crs_elapsed_time,actual_elapsed_time,air_time,dep_tmpf,dep_dwpf,dep_relh,dep_drct,dep_sknt,dep_p01i,dep_alti,dep_mslp,dep_vsby,dep_gust,dep_skyc1,dep_skyl1,dep_wxcodes,dep_peak_wind_gust,dep_peak_wind_drct,dep_weather_severity,sched_dep_hour,sched_arr_hour,hour_of_day,is_weekend,route,is_delayed,delay_state,sched_dep_min,sched_arr_min,dep_min,arr_min,schedule_buffer,prev_origin,prev_dest,prev_dep_delay,prev_arr_delay,prev_arr_min,prev_dep_min,prev_flight_date,rotation_leg_number,flights_per_aircraft_day,cum_dep_delay_day,cum_arr_delay_day,curr_sched_dep_abs_min,prev_arr_abs_min,turnaround_minutes,inherited_delay,bad_visibility,high_wind,precipitation,severe_weather
2019,1,1,3,4,2019-01-03,G4,215NV,1244,AVL,BWI,414,1331.0,1327.0,-4,0.0,0,7,1334,1427,7,1455.0,1434.0,-21,0.0,0,0,0,84.0,67,53.0,,,,,,,,,,,,,,,,0.0,13.0,14.0,13.0,0,AVL_BWI,0,on_time_or_early,811.0,895.0,807.0,874.0,31.0,,,,,,,,1,4,0.0,0.0,3691.0,,,0.0,0,0,0,0
2019,1,1,3,4,2019-01-03,G4,215NV,1272,BWI,SAV,549,1540.0,1535.0,-5,0.0,0,8,1543,1716,7,1725.0,1723.0,-2,0.0,0,0,0,105.0,108,93.0,35.0,30,81.46,70,8.0,0.0,30.2,1022.8,10.0,,OVC,1200.0,,,,0.26666666666666666,15.0,17.0,15.0,0,BWI_SAV,0,on_time_or_early,940.0,1045.0,935.0,1043.0,12.0,AVL,BWI,0.0,0.0,874.0,807.0,2019-01-03,2,4,0.0,0.0,3820.0,3754.0,66.0,0.0,0,0,0,0
2019,1,1,3,4,2019-01-03,G4,215NV,1273,SAV,BWI,549,1810.0,1806.0,-4,0.0,0,9,1815,1925,7,1948.0,1932.0,-16,0.0,0,0,0,98.0,86,70.0,,,,,,,,,,,,,,,,0.0,18.0,19.0,18.0,0,SAV_BWI,0,on_time_or_early,1090.0,1188.0,1086.0,1172.0,28.0,BWI,SAV,0.0,0.0,1043.0,935.0,2019-01-03,3,4,0.0,0.0,3970.0,3923.0,47.0,0.0,0,0,0,0
2019,1,1,3,4,2019-01-03,G4,215NV,1245,BWI,AVL,414,2033.0,2014.0,-19,0.0,0,13,2027,2134,7,2159.0,2141.0,-18,0.0,0,0,0,86.0,87,67.0,34.0,33,96.46,50,7.0,0.0,30.16,1021.6,3.0,,BKN,600.0,RA BR,,,1.9333333333333333,20.0,21.0,20.0,0,BWI_AVL,0,on_time_or_early,1233.0,1319.0,1214.0,1301.0,19.0,SAV,BWI,0.0,0.0,1172.0,1086.0,2019-01-03,4,4,0.0,0.0,4113.0,4052.0,61.0,0.0,0,0,0,0
2019,1,2,25,1,2019-02-25,G4,216NV,1280,SRQ,BWI,880,1457.0,1850.0,233,233.0,1,9,1859,2054,8,1714.0,2102.0,228,228.0,1,0,0,137.0,132,115.0,,,,,,,,,,,,,,,,0.0,14.0,17.0,14.0,0,SRQ_BWI,1,severe_delay,897.0,1034.0,1130.0,1262.0,22.0,,,,,,,,1,2,233.0,228.0,80097.0,,,0.0,0,0,0,0
2019,1,2,25,1,2019-02-25,G4,216NV,1281,BWI,SRQ,880,1759.0,2145.0,226,226.0,1,10,2155,0008,4,2022.0,12.0,230,230.0,1,0,0,143.0,147,133.0,,,,,,,,,,,,,,,,0.0,17.0,20.0,17.0,0,BWI_SRQ,1,severe_delay,1079.0,1222.0,1305.0,12.0,10.0,SRQ,BWI,233.0,228.0,1262.0,1130.0,2019-02-25,2,2,459.0,458.0,80279.0,80462.0,-183.0,411.0,0,0,0,0
2019,1,3,7,4,2019-03-07,G4,216NV,1244,AVL,BWI,414,1250.0,1237.0,-13,0.0,0,8,1245,1345,5,1411.0,1350.0,-21,0.0,0,0,0,81.0,73,60.0,,,,,,,,,,,,,,,,0.0,12.0,14.0,12.0,0,AVL_BWI,0,on_time_or_early,770.0,851.0,757.0,830.0,21.0,BWI,SRQ,226.0,230.0,12.0,1305.0,2019-02-25,1,4,0.0,0.0,94370.0,79212.0,15158.0,0.0,0,0,0,0
2019,1,3,7,4,2019-03-07,G4,216NV,1272,BWI,SAV,549,1456.0,1444.0,-12,0.0,0,10,1454,1614,4,1640.0,1618.0,-22,0.0,0,0,0,104.0,94,80.0,92.0,69,47.45,,6.0,0.0,29.88,1011.8,10.0,,SCT,6000.0,,,,0.2,14.0,16.0,14.0,0,BWI_SAV,0,on_time_or_early,896.0,1000.0,884.0,978.0,24.0,AVL,BWI,0.0,0.0,830.0,757.0,2019-03-07,2,4,0.0,0.0,94496.0,94430.0,66.0,0.0,0,0,0,0
2019,1,3,7,4,2019-03-07,G4,216NV,1273,SAV,BWI,549,1725.0,1715.0,-10,0.0,0,10,1725,1845,6,1904.0,1851.0,-13,0.0,0,0,0,99.0,96,80.0,,,,,,,,,,,,,,,,0.0,17.0,19.0,17.0,0,SAV_BWI,0,on_time_or_early,1045.0,1144.0,1035.0,1131.0,19.0,BWI,SAV,0.0,0.0,978.0,884.0,2019-03-07,3,4,0.0,0.0,94645.0,94578.0,67.0,0.0,0,0,0,0
2019,1,3,7,4,2019-03-07,G4,216NV,1245,BWI,AVL,414,1949.0,1941.0,-8,0.0,0,9,1950,2054,6,2114.0,2100.0,-14,0.0,0,0,0,85.0,79,64.0,87.0,70,56.92,50,5.0,0.0,29.88,1011.6,10.0,,SCT,6000.0,,,,0.16666666666666666,19.0,21.0,19.0,0,BWI_AVL,0,on_time_or_early,1189.0,1274.0,1181.0,1260.0,21.0,SAV,BWI,0.0,0.0,1131.0,1035.0,2019-03-07,4,4,0.0,0.0,94789.0,94731.0,58.0,0.0,0,0,0,0
